date,time,latitude,longitude
2024-12-14,13:57:53,19.0446460,72.9187320
2024-12-14,13:57:54,19.0446290,72.9187930
2024-12-14,13:57:55,19.0446120,72.9188560
2024-12-14,13:57:56,19.0445940,72.9189210
2024-12-14,13:57:57,19.0445750,72.9189900
2024-12-14,13:57:58,19.0445560,72.9190590
2024-12-14,13:57:59,19.0445390,72.9191250
2024-12-14,13:58:00,19.0445220,72.9191940
2024-12-14,13:58:01,19.0445030,72.9192650
2024-12-14,13:58:02,19.0444850,72.9193390
2024-12-14,13:58:03,19.0444690,72.9194140
2024-12-14,13:58:04,19.0444490,72.9194870
2024-12-14,13:58:05,19.0444380,72.9195600
2024-12-14,13:58:06,19.0444160,72.9196380
2024-12-14,13:58:07,19.0443940,72.9197170
2024-12-14,13:58:08,19.0443730,72.9197940
2024-12-14,13:58:09,19.0443530,72.9198750
2024-12-14,13:58:10,19.0443290,72.9199530
2024-12-14,13:58:11,19.0442990,72.9200330
2024-12-14,13:58:12,19.0442780,72.9201370
2024-12-14,13:58:13,19.0442480,72.9202340
2024-12-14,13:58:14,19.0442190,72.9203310
2024-12-14,13:58:15,19.0441870,72.9204340
2024-12-14,13:58:16,19.0441560,72.9205370
2024-12-14,13:58:17,19.0441250,72.9206390
2024-12-14,13:58:18,19.0440940,72.9207420
2024-12-14,13:58:19,19.0440630,72.9208420
2024-12-14,13:58:20,19.0440330,72.9209420
2024-12-14,13:58:21,19.0440020,72.9210420
2024-12-14,13:58:22,19.0439720,72.9211460
2024-12-14,13:58:23,19.0439570,72.9212510
2024-12-14,13:58:24,19.0439330,72.9213540
2024-12-14,13:58:25,19.0439050,72.9214580
2024-12-14,13:58:26,19.0438800,72.9215610
2024-12-14,13:58:27,19.0438510,72.9216650
2024-12-14,13:58:28,19.0438280,72.9217670
2024-12-14,13:58:29,19.0437430,72.9216510
2024-12-14,13:58:30,19.0437150,72.9217390
2024-12-14,13:58:31,19.0436900,72.9218410
2024-12-14,13:58:32,19.0436620,72.9219530
2024-12-14,13:58:33,19.0436390,72.9220510
2024-12-14,13:58:34,19.0436200,72.9221470
2024-12-14,13:58:35,19.0435980,72.9222350
2024-12-14,13:58:36,19.0435810,72.9223100
2024-12-14,13:58:37,19.0435640,72.9224260
2024-12-14,13:58:38,19.0435430,72.9225950
2024-12-14,13:58:39,19.0435440,72.9226730
2024-12-14,13:58:40,19.0435370,72.9227250
2024-12-14,13:58:41,19.0435390,72.9227710
2024-12-14,13:58:42,19.0435450,72.9228060
2024-12-14,13:58:43,19.0435490,72.9228370
2024-12-14,13:58:44,19.0435540,72.9228600
2024-12-14,13:58:45,19.0435550,72.9228710
2024-12-14,13:58:46,19.0435600,72.9228820
2024-12-14,13:58:47,19.0435660,72.9228910
2024-12-14,13:58:48,19.0435710,72.9229010
2024-12-14,13:58:49,19.0435760,72.9229110
2024-12-14,13:58:50,19.0435810,72.9229210
2024-12-14,13:58:51,19.0435870,72.9229300
2024-12-14,13:58:52,19.0435920,72.9229400
2024-12-14,13:58:53,19.0435970,72.9229500
2024-12-14,13:58:54,19.0436020,72.9229600
2024-12-14,13:59:43,19.0436080,72.9229690
2024-12-14,13:59:44,19.0436130,72.9229790
2024-12-14,13:59:45,19.0436180,72.9229890
2024-12-14,13:59:46,19.0436230,72.9230240
2024-12-14,13:59:47,19.0436310,72.9230580
2024-12-14,13:59:48,19.0436410,72.9230970
2024-12-14,13:59:49,19.0436520,72.9231390
2024-12-14,13:59:50,19.0436680,72.9231870
2024-12-14,13:59:51,19.0436850,72.9232340
2024-12-14,13:59:52,19.0437010,72.9232850
2024-12-14,13:59:53,19.0437230,72.9233350
2024-12-14,13:59:54,19.0437460,72.9233880
2024-12-14,13:59:55,19.0437710,72.9234370
2024-12-14,13:59:56,19.0437950,72.9234870
2024-12-14,13:59:57,19.0438250,72.9235360
2024-12-14,13:59:58,19.0438580,72.9235850
2024-12-14,13:59:59,19.0438970,72.9236320
2024-12-14,14:00:00,19.0439390,72.9236820
2024-12-14,14:00:01,19.0439820,72.9237310
2024-12-14,14:00:02,19.0440270,72.9237820
2024-12-14,14:00:03,19.0440740,72.9238360
2024-12-14,14:00:04,19.0441210,72.9238880
2024-12-14,14:00:05,19.0441690,72.9239410
2024-12-14,14:00:06,19.0442170,72.9239940
2024-12-14,14:00:07,19.0442660,72.9240490
2024-12-14,14:00:08,19.0443170,72.9241070
2024-12-14,14:00:09,19.0443690,72.9241660
2024-12-14,14:00:10,19.0444210,72.9242280
2024-12-14,14:00:11,19.0444720,72.9242890
2024-12-14,14:00:12,19.0445230,72.9243430
2024-12-14,14:00:13,19.0445790,72.9244050
2024-12-14,14:00:14,19.0446330,72.9244680
2024-12-14,14:00:15,19.0446890,72.9245340
2024-12-14,14:00:16,19.0447460,72.9246000
2024-12-14,14:00:17,19.0448050,72.9246690
2024-12-14,14:00:18,19.0448680,72.9247400
2024-12-14,14:00:19,19.0449320,72.9248150
2024-12-14,14:00:20,19.0449990,72.9248920
2024-12-14,14:00:21,19.0450680,72.9249710
2024-12-14,14:00:22,19.0451380,72.9250500
2024-12-14,14:00:23,19.0452070,72.9251320
2024-12-14,14:00:24,19.0452790,72.9252120
2024-12-14,14:00:25,19.0453500,72.9252910
2024-12-14,14:00:26,19.0454180,72.9253740
2024-12-14,14:00:27,19.0454850,72.9254540
2024-12-14,14:00:28,19.0455540,72.9255360
2024-12-14,14:00:29,19.0456270,72.9256200
2024-12-14,14:00:30,19.0456990,72.9257010
2024-12-14,14:00:31,19.0457630,72.9257820
2024-12-14,14:00:32,19.0458270,72.9258610
2024-12-14,14:00:33,19.0458920,72.9259430
2024-12-14,14:00:34,19.0459560,72.9260240
2024-12-14,14:00:35,19.0460180,72.9261020
2024-12-14,14:00:36,19.0460780,72.9261790
2024-12-14,14:00:37,19.0461400,72.9262540
2024-12-14,14:00:38,19.0461990,72.9263280
2024-12-14,14:00:39,19.0462540,72.9263980
2024-12-14,14:00:40,19.0463110,72.9264670
2024-12-14,14:00:41,19.0463670,72.9265360
2024-12-14,14:00:42,19.0464220,72.9266040
2024-12-14,14:00:43,19.0464760,72.9266720
2024-12-14,14:00:44,19.0465300,72.9267360
2024-12-14,14:00:45,19.0465820,72.9268010
2024-12-14,14:00:46,19.0466350,72.9268660
2024-12-14,14:00:47,19.0466860,72.9269310
2024-12-14,14:00:48,19.0467380,72.9269950
2024-12-14,14:00:49,19.0467890,72.9270570
2024-12-14,14:00:50,19.0468360,72.9271190
2024-12-14,14:00:51,19.0468830,72.9271790
2024-12-14,14:00:52,19.0469290,72.9272330
2024-12-14,14:00:53,19.0469700,72.9272900
2024-12-14,14:00:54,19.0470120,72.9273410
2024-12-14,14:00:55,19.0470520,72.9273870
2024-12-14,14:00:56,19.0470910,72.9274370
2024-12-14,14:00:57,19.0471290,72.9274830
2024-12-14,14:00:58,19.0471650,72.9275290
2024-12-14,14:00:59,19.0471990,72.9275720
2024-12-14,14:01:00,19.0472310,72.9276130
2024-12-14,14:01:01,19.0472650,72.9276570
2024-12-14,14:01:02,19.0473030,72.9277000
2024-12-14,14:01:03,19.0473390,72.9277420
2024-12-14,14:01:04,19.0473730,72.9277800
2024-12-14,14:01:05,19.0474040,72.9278180
2024-12-14,14:01:06,19.0474390,72.9278580
2024-12-14,14:01:07,19.0474760,72.9279010
2024-12-14,14:01:08,19.0475170,72.9279480
2024-12-14,14:01:09,19.0475580,72.9279960
2024-12-14,14:01:10,19.0475970,72.9280410
2024-12-14,14:01:11,19.0476360,72.9280830
2024-12-14,14:01:12,19.0476790,72.9281270
2024-12-14,14:01:13,19.0477230,72.9281730
2024-12-14,14:01:14,19.0477680,72.9282180
2024-12-14,14:01:15,19.0478100,72.9282610
2024-12-14,14:01:16,19.0478500,72.9283020
2024-12-14,14:01:17,19.0478860,72.9283430
2024-12-14,14:01:18,19.0479160,72.9283810
2024-12-14,14:01:19,19.0479460,72.9284150
2024-12-14,14:01:20,19.0479750,72.9284440
2024-12-14,14:01:21,19.0480020,72.9284760
2024-12-14,14:01:22,19.0480320,72.9285080
2024-12-14,14:01:23,19.0480610,72.9285400
2024-12-14,14:01:24,19.0480890,72.9285720
2024-12-14,14:01:25,19.0481150,72.9286040
2024-12-14,14:01:26,19.0481420,72.9286370
2024-12-14,14:01:27,19.0481710,72.9286710
2024-12-14,14:01:28,19.0481970,72.9287040
2024-12-14,14:01:29,19.0482240,72.9287370
2024-12-14,14:01:30,19.0482520,72.9287690
2024-12-14,14:01:31,19.0482780,72.9288030
2024-12-14,14:01:32,19.0483010,72.9288350
2024-12-14,14:01:33,19.0483280,72.9288710
2024-12-14,14:01:34,19.0483530,72.9289020
2024-12-14,14:01:35,19.0483780,72.9289330
2024-12-14,14:01:36,19.0484020,72.9289650
2024-12-14,14:01:37,19.0484290,72.9290020
2024-12-14,14:01:38,19.0484570,72.9290470
2024-12-14,14:01:39,19.0484890,72.9291040
2024-12-14,14:01:40,19.0485240,72.9291620
2024-12-14,14:01:41,19.0485570,72.9292240
2024-12-14,14:01:42,19.0485910,72.9292900
2024-12-14,14:01:43,19.0486230,72.9293600
2024-12-14,14:01:44,19.0486530,72.9294300
2024-12-14,14:01:45,19.0486880,72.9295060
2024-12-14,14:01:46,19.0487240,72.9295770
2024-12-14,14:01:47,19.0487510,72.9296450
2024-12-14,14:01:48,19.0487820,72.9297140
2024-12-14,14:01:49,19.0488120,72.9297820
2024-12-14,14:01:50,19.0488430,72.9298500
2024-12-14,14:01:51,19.0488720,72.9299200
2024-12-14,14:01:52,19.0489020,72.9299930
2024-12-14,14:01:53,19.0489310,72.9300670
2024-12-14,14:01:54,19.0489600,72.9301430
2024-12-14,14:01:55,19.0489870,72.9302170
2024-12-14,14:01:56,19.0490150,72.9302880
2024-12-14,14:01:57,19.0490400,72.9303570
2024-12-14,14:01:58,19.0490660,72.9304260
2024-12-14,14:01:59,19.0490920,72.9304970
2024-12-14,14:02:00,19.0491180,72.9305650
2024-12-14,14:02:01,19.0491420,72.9306310
2024-12-14,14:02:02,19.0491690,72.9307010
2024-12-14,14:02:03,19.0491970,72.9307740
2024-12-14,14:02:04,19.0492270,72.9308560
2024-12-14,14:02:05,19.0492610,72.9309440
2024-12-14,14:02:06,19.0492920,72.9310380
2024-12-14,14:02:07,19.0493250,72.9311290
2024-12-14,14:02:08,19.0493580,72.9312190
2024-12-14,14:02:09,19.0493870,72.9313090
2024-12-14,14:02:10,19.0494190,72.9314000
2024-12-14,14:02:11,19.0494530,72.9314920
2024-12-14,14:02:12,19.0494840,72.9315860
2024-12-14,14:02:13,19.0495160,72.9316810
2024-12-14,14:02:14,19.0495490,72.9317740
